"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Emerging and Developing Economies","200","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","2014","660523027816.407",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","1995","7014206776",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","1996","7598700000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","1997","7596987000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in French francs, US Dollars","RAXGFXARFRF_USD","1998","7851383466.143",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1999","14485494853.076",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2000","11237927736.63",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2001","10801093842.5713",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2002","19371859397.1327",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2003","17612228321.3981",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2004","22914379713.5072",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2005","25934540132.2444",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2006","30345821908.8048",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2007","45050092797.9271",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2008","51931333698.5195",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2009","37600015473.7919",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2010","67624405760.8952",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2011","70972630219.542",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2012","83073999078.3964",""
